case_id,source_root,model_name,model_id,condition,run_id,total_score,total_binary,total_graded,binary_check_1,binary_check_2,binary_check_3,binary_check_4,binary_check_5,binding_constraint_accuracy_0_to_2,slow_variable_recall_0_to_2,intervention_quality_0_to_2,distractor_resistance_0_to_2,judge_confidence,judge_error
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.97,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.87,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,baseline,1,9,4,5,1,1,0,1,1,1,1,1,2,0.82,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,gemini,google/gemini-3-flash-preview,treatment,1,8,3,5,0,1,0,1,1,1,1,1,2,0.82,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
IN-2026-03-23-DELHI-UNIVERSITIES,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
NZ-2026-03-12-CHATHAM,bottleneckbench_recent_audit_reviews,gpt,openai/gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
