case_id,source_root,model_name,model_id,condition,run_id,total_score,total_binary,total_graded,binary_check_1,binary_check_2,binary_check_3,binary_check_4,binary_check_5,binding_constraint_accuracy_0_to_2,slow_variable_recall_0_to_2,intervention_quality_0_to_2,distractor_resistance_0_to_2,judge_confidence,judge_error
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gemini,google/gemini-3-flash-preview,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
CF-2026-02-20-BYOIP,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.93,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,10,5,5,1,1,1,1,1,1,1,1,2,0.82,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
CLERK-2026-03-10-CLOUDSQL,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,12,5,7,1,1,1,1,1,2,1,2,2,0.85,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-02-ACTIONS,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,11,5,6,1,1,1,1,1,1,1,2,2,0.82,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
GH-2026-02-09-CACHE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,12,5,7,1,1,1,1,1,1,2,2,2,0.82,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.97,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
LARAVEL-2026-02-20-CLOUDFLARE,bottleneckbench_recent_outages,claude_haiku,claude-haiku-4-5-20251001,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.97,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.88,
AU-2026-01-21-CLOSINGGAP,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,baseline,1,13,5,8,1,1,1,1,1,2,2,2,2,0.95,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,gpt,gpt-5.4-mini,treatment,1,13,5,8,1,1,1,1,1,2,2,2,2,0.92,
EU-2026-03-XX-SERVICES,bottleneckbench_recent_audit_reviews,claude_haiku,claude-haiku-4-5-20251001,baseline,1,12,5,7,1,1,1,1,1,2,1,2,2,0.82,
